# "EMD Up"=CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Down"=CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Left"=CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Up"=CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Down"=CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Left"=CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Up"=CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Down"=CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Left"=CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Up"=CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Down"=CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Left"=CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
cycle;CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_act_RangeAverage;CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_act_RangeAverage;CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_act_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_act_RangeAverage;CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_excIn_RangeAverage;CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_excIn_RangeAverage;CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_excIn_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_excIn_RangeAverage;CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_inhIn_RangeAverage;CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_inhIn_RangeAverage;CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_inhIn_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_inhIn_RangeAverage;CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_vm_RangeAverage;CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_vm_RangeAverage;CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_vm_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;0;0;0;0;0.00125;0.00125;0.00125;0.00125;0;0;0;0;0.00125;0.00125;0.00125;0.00125;
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;0;0;0;0;0.00375;0.00375;0.00375;0.00375;0;0;0;0;0.00375;0.00375;0.00375;0.00375;
7;0;0;0;0;0.005;0.005;0.005;0.005;0;0;0;0;0.005;0.005;0.005;0.005;
8;0;0;0;0;0.005;0.005;0.005;0.005;0;0;0;0;0.005;0.005;0.005;0.005;
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;0;0;0;0;0.005;0.005;0.005;0.005;0;0;0;0;0.005;0.005;0.005;0.005;
11;0;0;0.005;0;0.005;0.005;0.005;0.005;0;0;0;0;0.005;0.005;0.005;0.005;
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;0;0.0025;0;0.0025;0.005;0.005;0.005;0.005;0;0;0;0;0.005;0.005;0.005;0.005;
15;0.0025;0;0.0025;0;0.005;0.005;0.005;0.005;0;0;0;0;0.005;0.005;0.005;0.005;
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;0;0;0;0;0.005;0.005;0.005;0.005;0;0;0;0;0.005;0.005;0.005;0.005;
20;0;0;0;0;0.005;0.005;0.005;0.005;0;0;0;0;0.005;0.005;0.005;0.005;
21;0;0;0;0;0.005;0.005;0.005;0.005;0;0;0;0;0.005;0.005;0.005;0.005;
22;0;0.005;0;0.005;0.01;0.01;0.01;0.01;0;0;0;0;0.01;0.01;0.01;0.01;
23;0.005;0.005;0.005;0.005;0.015;0.015;0.015;0.015;0;0;0;0;0.015;0.015;0.015;0.015;
24;0.005;0.005;0.005;0.005;0.02;0.02;0.02;0.02;0;0;0;0;0.02;0.02;0.02;0.02;
25;0;0;0;0;0.005;0.005;0.005;0.005;0;0;0;0;0.005;0.005;0.005;0.005;
26;0.005;0.005;0.005;0.005;0.02;0.02;0.02;0.02;0;0;0;0;0.02;0.02;0.02;0.02;
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;0;0;0;0;0.015;0.015;0.015;0.015;0;0;0;0;0.015;0.015;0.015;0.015;
29;0;0.005;0;0.005;0.02;0.02;0.02;0.02;0;0;0;0;0.02;0.02;0.02;0.02;
30;0.0025;0.01;0.0025;0.01;0.03125;0.03125;0.03125;0.03125;0;0;0;0;0.03125;0.03125;0.03125;0.03125;
31;0.0125;0.0025;0.0125;0.0025;0.03;0.03;0.03;0.03;0;0;0;0;0.03;0.03;0.03;0.03;
32;0;0;0;0;0.00125;0.00125;0.00125;0.00125;0;0;0;0;0.00125;0.00125;0.00125;0.00125;
