# " Edge Detection "=CB1483967969L-2946-1482229829-1336791198
# "ON cell"=CB1483968641L-10681-1482242139-1340260725
# " OFF cell"=CB1483968662L-10681-1482242141-2064399623
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "WTA Excit"=CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282
# "WTA Inhib"=CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# " Edge Detection "=CB1483967969L-2946-1482229829-1336791198
# "ON cell"=CB1483968641L-10681-1482242139-1340260725
# " OFF cell"=CB1483968662L-10681-1482242141-2064399623
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "WTA Excit"=CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282
# "WTA Inhib"=CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# " Edge Detection "=CB1483967969L-2946-1482229829-1336791198
# "ON cell"=CB1483968641L-10681-1482242139-1340260725
# " OFF cell"=CB1483968662L-10681-1482242141-2064399623
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "WTA Excit"=CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282
# "WTA Inhib"=CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# " Edge Detection "=CB1483967969L-2946-1482229829-1336791198
# "ON cell"=CB1483968641L-10681-1482242139-1340260725
# " OFF cell"=CB1483968662L-10681-1482242141-2064399623
# "EMD Right"=CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686
# "WTA Excit"=CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282
# "WTA Inhib"=CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1483967969L-2946-1482229829-1336791198_act_RangeAverage;CB1483968641L-10681-1482242139-1340260725_act_RangeAverage;CB1483968662L-10681-1482242141-2064399623_act_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_act_RangeAverage;CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282_act_RangeAverage;CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1483967969L-2946-1482229829-1336791198_excIn_RangeAverage;CB1483968641L-10681-1482242139-1340260725_excIn_RangeAverage;CB1483968662L-10681-1482242141-2064399623_excIn_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_excIn_RangeAverage;CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282_excIn_RangeAverage;CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1483967969L-2946-1482229829-1336791198_inhIn_RangeAverage;CB1483968641L-10681-1482242139-1340260725_inhIn_RangeAverage;CB1483968662L-10681-1482242141-2064399623_inhIn_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_inhIn_RangeAverage;CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282_inhIn_RangeAverage;CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1483967969L-2946-1482229829-1336791198_vm_RangeAverage;CB1483968641L-10681-1482242139-1340260725_vm_RangeAverage;CB1483968662L-10681-1482242141-2064399623_vm_RangeAverage;CB1483969272CB1483969256CB1483969244CB1483968864CB1483528021CB1482242714L-10681-1482242691-412019686_vm_RangeAverage;CB1484054649CB1483972179CB1483633443L-3491-1483629212-993412282_vm_RangeAverage;CB1484054657CB1483972215CB1483972179CB1483633443L-3491-1483629212-993412282_vm_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;0;0;0;0;0;0;0;0.982402;0;0;0;0;0;0;0;0.982441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.982441;
2;0.000104167;0;0;0;0;0;0;0.982402;0.837402;0;0;0;0;0;0;0.982441;2.0629;0;0;0;0;0;0;0;-1.2255;0;0;0;0;0;0;0.982441;
3;0.000104167;0.0025;0;0;0;0;0;0.981059;0.837402;0.000104167;0;0;0;0;0;0.981098;2.0629;0;0.000104167;0;0;0;0;0;-1.2255;0.000104167;-0.000104167;0;0;0;0;0.981098;
4;0.000408701;0;0;0;0;0;0;0.979676;0.836059;0.000104167;0.000104167;0.00125;0;0;0;0.979725;2.05988;0.000104167;0.000104167;0;0;0;0;0;-1.22382;0;0;0.00125;0;0;0;0.979725;
5;0.000807598;0.0075;0;0;0;0;0;0.978255;0.834676;0.000408701;0.000104167;0;0;0;0;0.978294;2.05677;0.000104167;0.000408701;0;0;0;0;0;-1.2221;0.000304534;-0.000304534;0;0;0;0;0.978294;
6;0.00119363;0.01;0;0;0;0;0;0.978255;0.833255;0.000807598;0.000408701;0.00375;0;0;0;0.978294;2.05357;0.000408701;0.000807598;0;0;0;0;0;-1.22032;0.000398897;-0.000398897;0.00375;0;0;0;0.978294;
7;0.00119363;0.01;0;0;0;0;0;0.96851;0.833255;0.00119363;0.000807598;0.005;0;0;0;0.976794;2.05357;0.000807598;0.00119363;0;0;0;0;0;-1.22032;0.000386029;-0.000386029;0.005;0;0;0;0.976794;
8;0.00470098;0;0;0;0;0;0;0.966716;0.82351;0.00119363;0.00119363;0.005;0;0;0;0.975304;2.03165;0.00119363;0.00119363;0;0;0;0;0;-1.20814;0;0;0.005;0;0;0;0.975304;
9;0.00520527;0.01;0;0;0;0;0;0.966118;0.821716;0.00470098;0.00119363;0;0;0;0;0.973637;2.02761;0.00119363;0.00470098;0;0;0;0;0;-1.20589;0.00350735;-0.00350735;0;0;0;0;0.973637;
10;0.00524265;0.005;0.005;0;0;0;0;0.965441;0.821118;0.00520527;0.00470098;0.005;0;0;0;0.972;2.02626;0.00470098;0.00520527;0;0;0;0;0;-1.20515;0.000504289;-0.000504289;0.005;0;0;0;0.972;
11;0.00528493;0;0;0;0;0;0;0.961275;0.820441;0.00524265;0.00520527;0.005;0;0;0;0.970324;2.02474;0.00520527;0.00524265;0;0;0;0;0;-1.2043;3.73775e-05;-3.73775e-05;0.005;0;0;0;0.970324;
12;0.00554534;0;0;0;0.01125;0.03;0;0.96;0.816275;0.00528493;0.00524265;0;0.01125;0.01125;0;0.968569;2.01537;0.00524265;0.00528493;0;0;0;0;0;-1.19909;4.22794e-05;-4.22794e-05;0;0.01125;0.01125;0;0.968569;
13;0.005625;0.0075;0.0025;0;0;0;0;0.96;0.815;0.00554534;0.00528493;0;0;0;0.01125;0.964922;2.0125;0.00528493;0.00554534;0;0;0;0.03;0;-1.1975;0.000260417;-0.000260417;0;0;0;-0.01875;0.964922;
14;0.005625;0.0025;0.0075;0.0025;0;0;0;0.96;0.815;0.005625;0.00554534;0.005;0;0;0;0.962971;2.0125;0.00554534;0.005625;0;0;0;0;0;-1.1975;7.96569e-05;-7.96569e-05;0.005;0;0;0;0.962971;
15;0.005625;0;0;0;0.01125;0.045;0;0.96;0.815;0.005625;0.005625;0.005;0.01125;0.01125;0;0.96102;2.0125;0.005625;0.005625;0;0;0;0;0;-1.1975;0;0;0.005;0.01125;0.01125;0;0.96102;
16;0.005625;0;0;0;0.01125;0.045;0;0.957029;0.815;0.005625;0.005625;0;0.01125;0.01125;0.01125;0.957029;2.0125;0.005625;0.005625;0;0;0;0.045;0;-1.1975;0;0;0;0.01125;0.01125;-0.03375;0.957029;
17;0.00525858;0;0;0;0;0;0;0.952431;0.812029;0.005625;0.005625;0;0;0;0.01125;0.952431;2.00582;0.005625;0.005625;0;0;0;0.045;0;-1.19379;0;0;0;0;0;-0.03375;0.952431;
18;0.00472978;0;0.01;0;0;0;0;0.950118;0.807431;0.00525858;0.005625;0;0;0;0;0.950118;1.99547;0.005625;0.00525858;0;0;0;0;0;-1.18804;-0.000366422;0.000366422;0;0;0;0;0.950118;
19;0.00449142;0;0.01;0;0;0;0;0.94552;0.805118;0.00472978;0.00525858;0.005;0;0;0;0.94552;1.99026;0.00525858;0.00472978;0;0;0;0;0;-1.18515;-0.000528799;0.000528799;0.005;0;0;0;0.94552;
20;0.00453799;0;0.01;0;0;0;0;0.940814;0.80052;0.00449142;0.00472978;0.005;0;0;0;0.940814;1.97992;0.00472978;0.00449142;0;0;0;0;0;-1.1794;-0.000238358;0.000238358;0.005;0;0;0;0.940814;
21;0.00489706;0.01;0.01;0;0;0;0;0.916225;0.795814;0.00453799;0.00449142;0.005;0;0;0;0.933245;1.96933;0.00449142;0.00453799;0;0;0;0;0;-1.17352;4.65686e-05;-4.65686e-05;0.005;0;0;0;0.933245;
