# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.988422;0;0.992539;0;0;0;0.992539;
2;0;0.988422;0;0.992539;0;0;0;0.992539;
3;0;0.988422;0;0.992539;0;0;0;0.992539;
4;0;0.988422;0;0.992539;0;0;0;0.992539;
5;0;0.987873;0;0.991912;0;0;0;0.991912;
6;0;0.987873;0;0.991912;0;0;0;0.991912;
7;0;0.987873;0;0.991912;0;0;0;0.991912;
8;0;0.987873;0;0.991912;0;0;0;0.991912;
9;0;0.987314;0;0.991265;0;0;0;0.991265;
10;0;0.987314;0;0.991265;0;0;0;0.991265;
11;0;0.987314;0;0.991265;0;0;0;0.991265;
12;0;0.987314;0;0.991265;0;0;0;0.991265;
13;0;0.987314;0;0.991265;0;0;0;0.991265;
14;0;0.986725;0;0.990657;0;0;0;0.990657;
15;0;0.986725;0;0.990657;0;0;0;0.990657;
16;0;0.986725;0;0.990657;0;0;0;0.990657;
17;0;0.986725;0;0.990657;0;0;0;0.990657;
18;0;0.986049;0;0.989961;0;0;0;0.989961;
19;0;0.986049;0;0.989961;0;0;0;0.989961;
20;0;0.986049;0;0.989961;0;0;0;0.989961;
21;0;0.985324;0;0.989275;0;0;0;0.989275;
22;0;0.985324;0;0.989275;0;0;0;0.989275;
23;0;0.985324;0;0.989275;0;0;0;0.989275;
24;0;0.985324;0;0.989275;0;0;0;0.989275;
25;0;0.984618;0;0.988539;0;0;0;0.988539;
26;0;0.984618;0;0.988539;0;0;0;0.988539;
27;0;0.984618;0;0.988539;0;0;0;0.988539;
28;0;0.983863;0;0.987784;0;0;0;0.987784;
29;0;0.983863;0;0.987784;0;0;0;0.987784;
30;0;0.983863;0;0.987784;0;0;0;0.987784;
31;0;0.983088;0;0.987029;0;0;0;0.987029;
32;0;0.983088;0;0.987029;0;0;0;0.987029;
33;0;0.983088;0;0.987029;0;0;0;0.987029;
34;0;0.982314;0;0.986245;0;0;0;0.986245;
35;0;0.982314;0;0.986245;0;0;0;0.986245;
36;0;0.982314;0;0.986245;0;0;0;0.986245;
37;0;0.981422;0;0.985353;0;0;0;0.985353;
38;0;0.981422;0;0.985353;0;0;0;0.985353;
39;0;0.980706;0;0.984627;0;0;0;0.984627;
40;0;0.980706;0;0.984627;0;0;0;0.984627;
41;0;0.980706;0;0.984627;0;0;0;0.984627;
42;0;0.979755;0;0.983706;0;0;0;0.983706;
43;0;0.979755;0;0.983706;0;0;0;0.983706;
44;0;0.9765;0;0.982873;0;0;0;0.982873;
45;0;0.9765;0;0.982873;0;0;0;0.982873;
46;0;0.968373;0;0.981853;0;0;0;0.981853;
47;0;0.968373;0;0.981853;0;0;0;0.981853;
48;0;0.968373;0;0.981853;0;0;0;0.981853;
