# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.983725;0;0.983765;0;0;0;0.983765;
2;0;0.982402;0;0.982441;0;0;0;0.982441;
3;0;0.982402;0;0.982441;0;0;0;0.982441;
4;0;0.982402;0;0.982441;0;0;0;0.982441;
5;0;0.982402;0;0.982441;0;0;0;0.982441;
6;0;0.982402;0;0.982441;0;0;0;0.982441;
7;0;0.981059;0;0.981098;0;0;0;0.981098;
8;0;0.981059;0;0.981098;0;0;0;0.981098;
9;0;0.981059;0;0.981098;0;0;0;0.981098;
10;0;0.981059;0;0.981098;0;0;0;0.981098;
11;0;0.981059;0;0.981098;0;0;0;0.981098;
12;0;0.979676;0;0.979725;0;0;0;0.979725;
13;0;0.979676;0;0.979725;0;0;0;0.979725;
14;0;0.979676;0;0.979725;0;0;0;0.979725;
15;0;0.979676;0;0.979725;0;0;0;0.979725;
16;0;0.978255;0;0.978294;0;0;0;0.978294;
17;0;0.978255;0;0.978294;0;0;0;0.978294;
18;0;0.978255;0;0.978294;0;0;0;0.978294;
19;0;0.978255;0;0.978294;0;0;0;0.978294;
20;0;0.96851;0;0.976794;0;0;0;0.976794;
21;0;0.96851;0;0.976794;0;0;0;0.976794;
22;0;0.96851;0;0.976794;0;0;0;0.976794;
23;0;0.966716;0;0.975304;0;0;0;0.975304;
24;0;0.966716;0;0.975304;0;0;0;0.975304;
25;0;0.966716;0;0.975304;0;0;0;0.975304;
26;0;0.966716;0;0.975304;0;0;0;0.975304;
27;0;0.966118;0;0.973637;0;0;0;0.973637;
28;0;0.966118;0.01125;0.973637;0.03;0;-0.01875;0.973637;
29;0;0.966118;0;0.973637;0;0;0;0.973637;
30;0;0.965441;0;0.972;0;0;0;0.972;
31;0;0.965441;0;0.972;0;0;0;0.972;
32;0;0.965441;0;0.972;0;0;0;0.972;
33;0;0.961275;0;0.970324;0;0;0;0.970324;
34;0;0.961275;0;0.970324;0;0;0;0.970324;
35;0;0.961275;0;0.970324;0;0;0;0.970324;
36;0;0.96;0;0.968569;0;0;0;0.968569;
37;0;0.96;0;0.968569;0;0;0;0.968569;
38;0;0.96;0.01125;0.966716;0.045;0;-0.03375;0.966716;
39;0;0.96;0;0.966716;0;0;0;0.966716;
40;0;0.96;0;0.966716;0;0;0;0.966716;
41;0;0.96;0.01125;0.964922;0.045;0;-0.03375;0.964922;
42;0;0.96;0;0.964922;0;0;0;0.964922;
43;0;0.96;0;0.962971;0;0;0;0.962971;
44;0;0.96;0;0.962971;0;0;0;0.962971;
45;0;0.96;0;0.96102;0;0;0;0.96102;
46;0;0.96;0;0.96102;0;0;0;0.96102;
47;0;0.96;0;0.96102;0;0;0;0.96102;
48;0;0.959049;0;0.959049;0;0;0;0.959049;
49;0;0.959049;0;0.959049;0;0;0;0.959049;
50;0;0.957029;0;0.957029;0;0;0;0.957029;
51;0;0.957029;0;0.957029;0;0;0;0.957029;
52;0;0.954784;0;0.954784;0;0;0;0.954784;
53;0;0.952431;0;0.952431;0;0;0;0.952431;
54;0;0.952431;0;0.952431;0;0;0;0.952431;
55;0;0.950118;0;0.950118;0;0;0;0.950118;
56;0;0.950118;0;0.950118;0;0;0;0.950118;
57;0;0.947853;0;0.947853;0;0;0;0.947853;
58;0;0.947853;0;0.947853;0;0;0;0.947853;
59;0;0.94552;0;0.94552;0;0;0;0.94552;
60;0;0.943098;0;0.943098;0;0;0;0.943098;
61;0;0.943098;0;0.943098;0;0;0;0.943098;
62;0;0.940814;0.01125;0.940814;0.045;0;-0.03375;0.940814;
63;0;0.938373;0;0.938373;0;0;0;0.938373;
64;0;0.926833;0.0225;0.935853;0.06;0;-0.0375;0.935853;
65;0;0.926833;0.045;0.935853;0.12;0;-0.075;0.935853;
66;0;0.916225;0;0.933245;0;0;0;0.933245;
