# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.365902;0;0.513078;0;0;0;0.513078;
2;0;0.365716;0;0.512441;0;0;0;0.512441;
3;0;0.365716;0;0.512441;0;0;0;0.512441;
4;0;0.365716;0;0.512441;0;0;0;0.512441;
5;0;0.364275;0;0.511735;0;0;0;0.511735;
6;0;0.364275;0;0.511735;0;0;0;0.511735;
7;0;0.364157;0;0.51099;0;0;0;0.51099;
8;0;0.364157;0;0.51099;0;0;0;0.51099;
9;0;0.364157;0;0.51099;0;0;0;0.51099;
10;0;0.36398;0.0225;0.510275;0.06;0;-0.0375;0.510275;
11;0;0.36398;0;0.510275;0;0;0;0.510275;
12;0;0.363804;0;0.509529;0;0;0;0.509529;
13;0;0.363804;0;0.509529;0;0;0;0.509529;
14;0;0.362392;0;0.508755;0;0;0;0.508755;
15;0;0.362392;0;0.508755;0;0;0;0.508755;
16;0;0.362392;0;0.508755;0;0;0;0.508755;
17;0;0.362284;0;0.507892;0;0;0;0.507892;
18;0;0.360971;0;0.50702;0;0;0;0.50702;
19;0;0.360971;0.016875;0.50702;0.0675;0;-0.050625;0.50702;
20;0;0.360971;0;0.506147;0;0;0;0.506147;
21;0;0.360971;0;0.506147;0;0;0;0.506147;
22;0;0.360971;0;0.505206;0;0;0;0.505206;
23;0;0.360971;0.01125;0.505206;0.045;0;-0.03375;0.505206;
24;0;0.360971;0;0.504235;0;0;0;0.504235;
25;0;0.360971;0;0.503216;0;0;0;0.503216;
26;0;0.360971;0;0.503216;0;0;0;0.503216;
27;0;0.360971;0;0.502127;0;0;0;0.502127;
28;0;0.360971;0;0.501108;0;0;0;0.501108;
29;0;0.360735;0;0.499833;0;0;0;0.499833;
30;0;0.360735;0;0.499833;0;0;0;0.499833;
31;0;0.358931;0;0.498814;0;0;0;0.498814;
32;0;0.358314;0;0.497627;0;0;0;0.497627;
33;0;0.357676;0;0.496373;0;0;0;0.496373;
34;0;0.355784;0;0.495157;0;0;0;0.495157;
35;0;0.354108;0;0.494029;0;0;0;0.494029;
36;0;0.350069;0.005625;0.492784;0.0225;0;-0.016875;0.492784;
37;0;0.348716;0;0.491588;0;0;0;0.491588;
38;0;0.348657;0;0.490402;0;0;0;0.490402;
39;0;0.347333;0.016875;0.489167;0.0525;0;-0.035625;0.489167;
40;0;0.347333;0.028125;0.487961;0.0825;0;-0.054375;0.487961;
41;0;0.347333;0.061875;0.485637;0.165;0;-0.103125;0.485637;
42;0;0.347373;0.028125;0.484461;0.0825;0;-0.054375;0.484461;
43;0;0.347324;0;0.483294;0;0;0;0.483294;
44;0;0.347314;0.028125;0.481069;0.0825;0;-0.054375;0.481069;
45;0;0.347382;0;0.479853;0;0;0;0.479853;
46;0;0.347353;0;0.477618;0;0;0;0.477618;
47;0;0.346892;0;0.4765;0;0;0;0.4765;
48;0;0.344451;0;0.474088;0;0;0;0.474088;
49;0;0.341814;0;0.471608;0;0;0;0.471608;
50;0;0.335941;0;0.469029;0;0;0;0.469029;
51;0;0.332902;0;0.466216;0;0;0;0.466216;
52;0;0.331471;0;0.463441;0;0;0;0.463441;
53;0;0.33102;0.02625;0.458804;0.075;0;-0.04875;0.458804;
54;0;0.329706;0.005625;0.455431;0.0225;0;-0.016875;0.455431;
55;0;0.329676;0.043125;0.450127;0.11;0;-0.066875;0.450127;
56;0;0.326549;0.03375;0.444873;0.105;0;-0.07125;0.444873;
57;0;0.319539;0.0225;0.439167;0.06;0;-0.0375;0.439167;
58;0;0.313049;0;0.433471;0;0;0;0.433471;
59;0;0.304324;0.016875;0.427431;0.0525;0;-0.035625;0.427431;
60;0;0.301314;0;0.41851;0;0;0;0.41851;
61;0;0.301353;0.01125;0.408863;0.03;0;-0.01875;0.408863;
62;0;0.292363;0.016875;0.398412;0.0375;0;-0.020625;0.398412;
63;0;0.276245;0.06375;0.387108;0.18;0;-0.11625;0.387108;
64;0;0.254775;0.07875;0.372098;0.1825;0;-0.10375;0.372098;
65;0;0.253451;0.0225;0.356157;0.09;0;-0.0675;0.356157;
66;0;0.248402;0;0.339275;0;0;0;0.339275;
67;0;0.220951;0.0075;0.318716;0.03;0;-0.0225;0.318716;
68;0;0.193216;0.050625;0.296676;0.1575;0;-0.106875;0.296676;
69;0;0.193275;0.144375;0.273686;0.2875;0;-0.143125;0.273686;
70;0;0.160029;0.01125;0.245196;0.045;0;-0.03375;0.245196;
71;0;0.131;0.005625;0.216343;0.0225;0;-0.016875;0.216343;
72;0;0.125588;0.10125;0.183304;0.26;0;-0.15875;0.183304;
73;0;0.0853922;0.11625;0.153245;0.2125;0;-0.09625;0.153245;
74;0;0.0717941;0;0.117392;0;0;0;0.117392;
75;0;0.0408922;0.12375;0.0790098;0.33;0;-0.20625;0.0790098;
76;0;0;0.151875;0.0397745;0.2725;0;-0.120625;0.0397745;
77;0;0.365902;0.005625;0.513078;0.0225;0;-0.016875;0.513078;
78;0;0.365902;0.200625;0.513078;0.38;0;-0.179375;0.513078;
79;0;0.365716;0.140625;0.512441;0.3025;0;-0.161875;0.512441;
80;0;0.365716;0.046875;0.512441;0.1475;0;-0.100625;0.512441;
81;0;0.365716;0;0.512441;0;0;0;0.512441;
82;0;0.364275;0;0.511735;0;0;0;0.511735;
83;0;0.364275;0;0.511735;0;0;0;0.511735;
84;0;0.364157;0;0.51099;0;0;0;0.51099;
85;0;0.364157;0;0.51099;0;0;0;0.51099;
86;0;0.364157;0;0.51099;0;0;0;0.51099;
