# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.985353;0;0.989275;0;0;0;0.989275;
2;0;0.985353;0;0.989275;0;0;0;0.989275;
3;0;0.985353;0;0.989275;0;0;0;0.989275;
4;0;0.984529;0;0.988451;0;0;0;0.988451;
5;0;0.984529;0;0.988451;0;0;0;0.988451;
6;0;0.983706;0;0.987627;0;0;0;0.987627;
7;0;0.983706;0;0.987627;0;0;0;0.987627;
8;0;0.983706;0;0.987627;0;0;0;0.987627;
9;0;0.982824;0;0.986755;0;0;0;0.986755;
10;0;0.982824;0;0.986755;0;0;0;0.986755;
11;0;0.981971;0;0.985892;0;0;0;0.985892;
12;0;0.981971;0;0.985892;0;0;0;0.985892;
13;0;0.981039;0;0.984951;0;0;0;0.984951;
14;0;0.980029;0;0.983951;0;0;0;0.983951;
15;0;0.980029;0;0.983951;0;0;0;0.983951;
16;0;0.97902;0;0.982941;0;0;0;0.982941;
17;0;0.97902;0;0.982941;0;0;0;0.982941;
18;0;0.978029;0;0.981961;0;0;0;0.981961;
19;0;0.976971;0;0.980892;0;0;0;0.980892;
20;0;0.976971;0;0.980892;0;0;0;0.980892;
21;0;0.97098;0;0.979735;0;0;0;0.979735;
22;0;0.965333;0;0.978667;0;0;0;0.978667;
23;0;0.961265;0;0.977529;0;0;0;0.977529;
24;0;0.96;0;0.976333;0;0;0;0.976333;
25;0;0.96;0;0.976333;0;0;0;0.976333;
26;0;0.959451;0.01125;0.975137;0.045;0;-0.03375;0.975137;
27;0;0.958235;0.01125;0.973922;0.045;0;-0.03375;0.973922;
28;0;0.956873;0.01125;0.972559;0.045;0;-0.03375;0.972559;
29;0;0.955431;0.01125;0.971118;0.045;0;-0.03375;0.971118;
30;0;0.95402;0;0.969706;0;0;0;0.969706;
31;0;0.951069;0;0.966755;0;0;0;0.966755;
32;0;0.949618;0;0.965304;0;0;0;0.965304;
33;0;0.948127;0;0.963814;0;0;0;0.963814;
34;0;0.946627;0;0.962314;0;0;0;0.962314;
35;0;0.943618;0;0.959304;0;0;0;0.959304;
36;0;0.942078;0;0.957765;0;0;0;0.957765;
37;0;0.939;0;0.954686;0;0;0;0.954686;
38;0;0.937196;0;0.952882;0;0;0;0.952882;
39;0;0.91499;0;0.949382;0;0;0;0.949382;
40;0;0.90952;0.045;0.945755;0.12;0;-0.075;0.945755;
41;0;0.906902;0;0.942225;0;0;0;0.942225;
42;0;0.903127;0.045;0.938441;0.12;0;-0.075;0.938441;
43;0;0.899304;0;0.934618;0;0;0;0.934618;
44;0;0.892961;0.045;0.928294;0.12;0;-0.075;0.928294;
45;0;0.888824;0.045;0.924157;0.17;0;-0.125;0.924157;
46;0;0.882324;0;0.917725;0;0;0;0.917725;
47;0;0.86102;0;0.910843;0;0;0;0.910843;
48;0;0.839843;0;0.903902;0;0;0;0.903902;
49;0;0.833667;0;0.89649;0;0;0;0.89649;
50;0;0.823392;0.0225;0.886235;0.08;0;-0.0575;0.886235;
51;0;0.812637;0.045;0.875422;0.14;0;-0.095;0.875422;
52;0;0.801529;0.0675;0.864461;0.1075;0;-0.04;0.864461;
53;0;0.751;0.0675;0.8525;0.0975;0;-0.03;0.8525;
54;0;0.73902;0;0.837284;0;0;0;0.837284;
55;0;0.723118;0;0.821402;0;0;0;0.821402;
56;0;0.702882;0.0225;0.801069;0.08;0;-0.0575;0.801069;
57;0;0.638353;0.045;0.779529;0.14;0;-0.095;0.779529;
58;0;0.611422;0.135;0.752598;0.15;0;-0.015;0.752598;
59;0;0.583863;0.01125;0.725039;0.045;0;-0.03375;0.725039;
60;0;0.503451;0;0.695637;0;0;0;0.695637;
61;0;0.467912;0.045;0.660186;0.12;0;-0.075;0.660186;
62;0.045;0.365147;0.18;0.62298;0.16;0;0.02;0.62298;
63;0;0.327706;0;0.578941;0;0;0;0.578941;
64;0;0.280902;0.045;0.532127;0.12;0;-0.075;0.532127;
65;0.045;0.165157;0.225;0.483461;0.2;0;0.025;0.483461;
66;0;0.107745;0.01125;0.425696;0.045;0;-0.03375;0.425696;
67;0;0.986196;0.27;0.990137;0.33;0;-0.06;0.990137;
68;0;0.985353;0.03375;0.989275;0.135;0;-0.10125;0.989275;
69;0;0.985353;0.045;0.989275;0.18;0;-0.135;0.989275;
70;0;0.985353;0.315;0.989275;0.39;0;-0.075;0.989275;
71;0;0.984529;0;0.988451;0;0;0;0.988451;
72;0;0.984529;0;0.988451;0;0;0;0.988451;
73;0;0.983706;0;0.987627;0;0;0;0.987627;
74;0;0.983706;0;0.987627;0;0;0;0.987627;
