# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.497618;0;0.512441;0;0;0;0.512441;
2;0;0.497618;0;0.512441;0;0;0;0.512441;
3;0;0.497618;0;0.512441;0;0;0;0.512441;
4;0;0.49652;0;0.511735;0;0;0;0.511735;
5;0;0.49652;0;0.511735;0;0;0;0.511735;
6;0;0.495892;0;0.51099;0;0;0;0.51099;
7;0;0.495892;0;0.51099;0;0;0;0.51099;
8;0;0.495892;0;0.51099;0;0;0;0.51099;
9;0;0.495245;0;0.510275;0;0;0;0.510275;
10;0;0.495245;0;0.510275;0;0;0;0.510275;
11;0;0.494578;0;0.509529;0;0;0;0.509529;
12;0;0.494578;0;0.509529;0;0;0;0.509529;
13;0;0.493892;0;0.508755;0;0;0;0.508755;
14;0;0.493167;0;0.507892;0;0;0;0.507892;
15;0;0.493167;0;0.507892;0;0;0;0.507892;
16;0;0.49101;0;0.50702;0;0;0;0.50702;
17;0;0.49101;0;0.50702;0;0;0;0.50702;
18;0;0.489451;0;0.506147;0;0;0;0.506147;
19;0;0.488098;0;0.505206;0;0;0;0.505206;
20;0;0.488098;0;0.505206;0;0;0;0.505206;
21;0;0.487804;0;0.504235;0;0;0;0.504235;
22;0;0.487078;0;0.503216;0;0;0;0.503216;
23;0;0.4865;0.01125;0.502127;0.045;0;-0.03375;0.502127;
24;0;0.4865;0.01125;0.501108;0.045;0;-0.03375;0.501108;
25;0;0.4865;0;0.501108;0;0;0;0.501108;
26;0;0.486029;0;0.499833;0;0;0;0.499833;
27;0;0.48502;0;0.498814;0;0;0;0.498814;
28;0;0.483902;0;0.497627;0;0;0;0.497627;
29;0;0.482235;0;0.496373;0;0;0;0.496373;
30;0;0.480108;0;0.495157;0;0;0;0.495157;
31;0;0.477598;0;0.492784;0;0;0;0.492784;
32;0;0.476588;0;0.491588;0;0;0;0.491588;
33;0;0.474598;0;0.490402;0;0;0;0.490402;
34;0;0.472696;0.01125;0.489167;0.03;0;-0.01875;0.489167;
35;0;0.470167;0.005625;0.486882;0.0225;0;-0.016875;0.486882;
36;0;0.469343;0.005625;0.485637;0.0225;0;-0.016875;0.485637;
37;0;0.465255;0;0.483294;0;0;0;0.483294;
38;0;0.464118;0.0225;0.482088;0.075;0;-0.0525;0.482088;
39;0;0.463588;0.005625;0.479853;0.0225;0;-0.016875;0.479853;
40;0;0.463578;0.016875;0.477618;0.0525;0;-0.035625;0.477618;
41;0;0.461363;0;0.475225;0;0;0;0.475225;
42;0;0.458843;0.016875;0.472912;0.0525;0;-0.035625;0.472912;
43;0;0.457078;0.0225;0.470353;0.045;0;-0.0225;0.470353;
44;0;0.45149;0;0.466216;0;0;0;0.466216;
45;0;0.448314;0;0.463441;0;0;0;0.463441;
46;0;0.442608;0.005625;0.458804;0.0225;0;-0.016875;0.458804;
47;0;0.437392;0.005625;0.453735;0.0225;0;-0.016875;0.453735;
48;0;0.436588;0.005625;0.44849;0.0225;0;-0.016875;0.44849;
49;0;0.431324;0.050625;0.442941;0.13;0;-0.079375;0.442941;
50;0;0.422147;0.045;0.435314;0.095;0;-0.05;0.435314;
51;0;0.414814;0.03375;0.427431;0.08;0;-0.04625;0.427431;
52;0;0.402775;0.050625;0.41851;0.0975;0;-0.046875;0.41851;
53;0;0.395529;0.005625;0.408863;0.0225;0;-0.016875;0.408863;
54;0;0.385794;0.013125;0.395667;0.0375;0;-0.024375;0.395667;
55;0;0.368765;0.05625;0.381088;0.11;0;-0.05375;0.381088;
56;0;0.347686;0.05625;0.362608;0.1325;0;-0.07625;0.362608;
57;0;0.334853;0.091875;0.342549;0.1425;0;-0.050625;0.342549;
58;0;0.309363;0.061875;0.318716;0.1825;0;-0.120625;0.318716;
59;0;0.280196;0.01125;0.293;0.03;0;-0.01875;0.293;
60;0;0.260029;0.0675;0.265706;0.1325;0;-0.065;0.265706;
61;0.015;0.223431;0.14625;0.232961;0.16;0;-0.01375;0.232961;
62;0;0.185147;0.118125;0.199569;0.2125;0;-0.094375;0.199569;
63;0;0.15548;0.05625;0.161912;0.1275;0;-0.07125;0.161912;
64;0.005;0.103127;0.185625;0.122127;0.23;0;-0.044375;0.122127;
65;0;0.0710392;0.1275;0.0790098;0.2225;0;-0.095;0.0790098;
66;0;0.0122549;0.106875;0.0296961;0.2625;0;-0.155625;0.0296961;
67;0;0.498206;0.253125;0.513078;0.405;0;-0.151875;0.513078;
68;0;0.497618;0.0675;0.512441;0.195;0;-0.1275;0.512441;
69;0;0.497618;0.315;0.512441;0.39;0;-0.075;0.512441;
