# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.944255;0;0.948843;0;0;0;0.948843;
2;0;0.936814;0;0.946833;0;0;0;0.946833;
3;0;0.935971;0;0.944853;0;0;0;0.944853;
4;0;0.935069;0;0.942716;0;0;0;0.942716;
5;0;0.934088;0;0.940647;0;0;0;0.940647;
6;0;0.932863;0;0.938206;0;0;0;0.938206;
7;0;0.931775;0.03375;0.936118;0.09;0;-0.05625;0.936118;
8;0;0.93048;0;0.933765;0;0;0;0.933765;
9;0;0.923294;0;0.931451;0;0;0;0.931451;
10;0;0.919118;0;0.928912;0;0;0;0.928912;
11;0;0.917745;0;0.924157;0;0;0;0.924157;
12;0;0.9165;0;0.921647;0;0;0;0.921647;
13;0;0.913471;0;0.916422;0;0;0;0.916422;
14;0;0.911647;0.045;0.913922;0.125;0;-0.08;0.913922;
15;0;0.907725;0.028125;0.908853;0.0725;0;-0.044375;0.908853;
16;0;0.905441;0;0.906118;0;0;0;0.906118;
17;0;0.89451;0;0.900696;0;0;0;0.900696;
18;0;0.883059;0;0.89502;0;0;0;0.89502;
19;0;0.880402;0;0.889098;0;0;0;0.889098;
20;0;0.869412;0;0.883343;0;0;0;0.883343;
21;0;0.86698;0;0.877284;0;0;0;0.877284;
22;0;0.865029;0.0225;0.870941;0.0575;0;-0.035;0.870941;
23;0;0.861294;0.045;0.864549;0.1225;0;-0.0775;0.864549;
24;0;0.851451;0;0.854922;0;0;0;0.854922;
25;0;0.8395;0.07875;0.847843;0.135;0;-0.05625;0.847843;
26;0;0.828069;0.016875;0.837471;0.0525;0;-0.035625;0.837471;
27;0;0.817422;0;0.826657;0;0;0;0.826657;
28;0;0.802765;0;0.815451;0;0;0;0.815451;
29;0;0.794529;0.0225;0.803735;0.07;0;-0.0475;0.803735;
30;0;0.775167;0.0675;0.78801;0.175;0;-0.1075;0.78801;
31;0;0.765618;0.0225;0.771304;0.05;0;-0.0275;0.771304;
32;0;0.743559;0.084375;0.754167;0.09;0;-0.005625;0.754167;
33;0;0.714931;0.09;0.736176;0.09;0;0;0.736176;
34;0;0.702088;0.045;0.713275;0.1025;0;-0.0575;0.713275;
35;0;0.683235;0.135;0.688431;0.205;0;-0.07;0.688431;
36;0;0.647157;0;0.66248;0;0;0;0.66248;
37;0.0175;0.617235;0.07875;0.631294;0.075;0;0.00375;0.631294;
38;0.04;0.584176;0.18;0.598451;0.22;0;-0.04;0.598451;
39;0;0.547696;0.095625;0.558333;0.2;0;-0.104375;0.558333;
40;0;0.500598;0.07875;0.516451;0.2125;0;-0.13375;0.516451;
41;0;0.447245;0.135;0.459539;0.28;0;-0.145;0.459539;
42;0.0425;0.382373;0.14625;0.405333;0.16;0;-0.01375;0.405333;
43;0;0.321804;0.2025;0.335324;0.37;0;-0.1675;0.335324;
44;0;0.231039;0.14625;0.254088;0.32;0;-0.17375;0.254088;
45;0;0.160931;0.225;0.177206;0.27;0;-0.045;0.177206;
46;0;0.108088;0.27;0.116569;0.47;0;-0.2;0.116569;
47;0;0.0581176;0.225;0.0706373;0.3;0;-0.075;0.0706373;
48;0;0.0280392;0.25875;0.0342647;0.51;0;-0.25125;0.0342647;
49;0;0.00768627;0.27;0.00962745;0.44;0;-0.17;0.00962745;
50;0;0;0.225;0.000215686;0.38;0;-0.155;0.000215686;
51;0;0;0.255;0;0.45;0;-0.195;0;
52;0;0;0.135;0;0.37;0;-0.235;0;
53;0;0;0.165;0;0.38;0;-0.215;0;
54;0;0;0.12;0;0.28;0;-0.16;0;
55;0;0;0;0;0;0;0;0;
56;0;0.94952;0;0.950765;0;0;0;0.950765;
57;0;0.944255;0;0.948843;0;0;0;0.948843;
58;0;0.936814;0;0.946833;0;0;0;0.946833;
59;0;0.935971;0;0.944853;0;0;0;0.944853;
60;0;0.935069;0;0.942716;0;0;0;0.942716;
