# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.952578;0;0.968755;0;0;0;0.968755;
2;0;0.951569;0;0.967598;0;0;0;0.967598;
3;0;0.949216;0;0.965;0;0;0;0.965;
4;0;0.948147;0;0.963882;0;0;0;0.963882;
5;0;0.945333;0;0.96102;0;0;0;0.96102;
6;0;0.939255;0;0.959696;0;0;0;0.959696;
7;0;0.932559;0;0.956853;0;0;0;0.956853;
8;0;0.930078;0.045;0.953725;0.12;0;-0.075;0.953725;
9;0;0.924539;0;0.950559;0;0;0;0.950559;
10;0;0.914716;0.045;0.947431;0.12;0;-0.075;0.947431;
11;0;0.912333;0.0225;0.944333;0.06;0;-0.0375;0.944333;
12;0;0.909637;0.0225;0.941176;0.06;0;-0.0375;0.941176;
13;0;0.9045;0;0.935922;0;0;0;0.935922;
14;0;0.897922;0.03375;0.930578;0.1125;0;-0.07875;0.930578;
15;0;0.8825;0.045;0.926951;0.13;0;-0.085;0.926951;
16;0;0.877588;0;0.921216;0;0;0;0.921216;
17;0;0.861627;0;0.913441;0;0;0;0.913441;
18;0;0.856235;0;0.907314;0;0;0;0.907314;
19;0;0.842941;0.01125;0.898853;0.045;0;-0.03375;0.898853;
20;0;0.830529;0.05625;0.88998;0.12;0;-0.06375;0.88998;
21;0;0.806402;0.045;0.878108;0.125;0;-0.08;0.878108;
22;0;0.786343;0.09;0.865873;0.14;0;-0.05;0.865873;
23;0;0.763049;0;0.850137;0;0;0;0.850137;
24;0;0.738108;0.05625;0.833971;0.1425;0;-0.08625;0.833971;
25;0;0.705598;0.05625;0.816294;0.1425;0;-0.08625;0.816294;
26;0;0.673353;0.09;0.791216;0.09;0;0;0.791216;
27;0;0.622225;0.1125;0.765451;0.1575;0;-0.045;0.765451;
28;0;0.57149;0.135;0.734529;0.21;0;-0.075;0.734529;
29;0.02;0.508696;0.09;0.694088;0.08;0;0.01;0.694088;
30;0.04;0.444176;0.18;0.650735;0.22;0;-0.04;0.650735;
31;0;0.338206;0.135;0.591;0.26;0;-0.125;0.591;
32;0.04;0.225069;0.18;0.522441;0.2575;0;-0.0775;0.522441;
33;0;0.141804;0.2025;0.469824;0.3275;0;-0.125;0.469824;
34;0;0.0617353;0.1575;0.428176;0.21;0;-0.0525;0.428176;
35;0;0.0222549;0.196875;0.402686;0.415;0;-0.218125;0.402686;
36;0;0;0.225;0.392186;0.36;0;-0.135;0.392186;
37;0;0;0.18;0.392157;0.42;0;-0.24;0.392157;
38;0;0;0.10125;0.392157;0.2775;0;-0.17625;0.392157;
39;0;0;0.135;0.392157;0.3775;0;-0.2425;0.392157;
40;0;0.953559;0.11625;0.969971;0.305;0;-0.18875;0.969971;
41;0;0.952578;0;0.968755;0;0;0;0.968755;
42;0;0.951569;0;0.967598;0;0;0;0.967598;
43;0;0.949216;0;0.965;0;0;0;0.965;
44;0;0.948147;0;0.963882;0;0;0;0.963882;
45;0;0.945333;0;0.96102;0;0;0;0.96102;
