# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.982402;0;0.982441;0;0;0;0.982441;
2;0;0.982402;0;0.982441;0;0;0;0.982441;
3;0;0.981059;0;0.981098;0;0;0;0.981098;
4;0;0.979676;0;0.979725;0;0;0;0.979725;
5;0;0.978255;0;0.978294;0;0;0;0.978294;
6;0;0.978255;0;0.978294;0;0;0;0.978294;
7;0;0.976775;0;0.976794;0;0;0;0.976794;
8;0;0.975275;0;0.975304;0;0;0;0.975304;
9;0;0.973618;0;0.973637;0;0;0;0.973637;
10;0;0.971961;0;0.972;0;0;0;0.972;
11;0;0.970304;0;0.970324;0;0;0;0.970324;
12;0;0.968549;0;0.968569;0;0;0;0.968569;
13;0;0.961873;0;0.964922;0;0;0;0.964922;
14;0;0.96;0;0.962971;0;0;0;0.962971;
15;0;0.96;0;0.96102;0;0;0;0.96102;
16;0;0.957029;0;0.957029;0;0;0;0.957029;
17;0;0.952431;0;0.952431;0;0;0;0.952431;
18;0;0.950118;0;0.950118;0;0;0;0.950118;
19;0;0.94552;0.01125;0.94552;0.045;0;-0.03375;0.94552;
20;0;0.940814;0;0.940814;0;0;0;0.940814;
21;0;0.933245;0;0.933245;0;0;0;0.933245;
22;0;0.928176;0;0.928176;0;0;0;0.928176;
23;0;0.916961;0;0.919941;0;0;0;0.919941;
24;0;0.909686;0.0225;0.911235;0.06;0;-0.0375;0.911235;
25;0;0.901971;0.045;0.902127;0.12;0;-0.075;0.902127;
26;0;0.889225;0.045;0.889294;0.12;0;-0.075;0.889294;
27;0;0.8755;0.045;0.875588;0.12;0;-0.075;0.875588;
28;0;0.857314;0.045;0.857343;0.12;0;-0.075;0.857343;
29;0;0.837873;0.03375;0.838078;0.0725;0;-0.03875;0.838078;
30;0;0.812686;0;0.812922;0;0;0;0.812922;
31;0;0.781382;0.0225;0.781578;0.08;0;-0.0575;0.781578;
32;0;0.747422;0.0675;0.747882;0.14;0;-0.0725;0.747882;
33;0;0.705716;0.09;0.706206;0.14;0;-0.05;0.706206;
34;0;0.64;0.09;0.649235;0.14;0;-0.05;0.649235;
35;0;0.580569;0.0225;0.580569;0.08;0;-0.0575;0.580569;
36;0;0.499363;0.135;0.49952;0.15;0;-0.015;0.49952;
37;0;0.403176;0.135;0.403314;0.15;0;-0.015;0.403314;
38;0;0.281824;0.045;0.282343;0.12;0;-0.075;0.282343;
39;0.045;0.149147;0.18;0.149676;0.16;0;0.02;0.149676;
40;0;0.983725;0.045;0.983765;0.12;0;-0.075;0.983765;
41;0.045;0.982402;0.225;0.982441;0.2;0;0.025;0.982441;
42;0;0.982402;0.27;0.982441;0.33;0;-0.06;0.982441;
