# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.986549;0;0.986745;0;0;0;0.986745;
2;0;0.986549;0;0.986745;0;0;0;0.986745;
3;0;0.985637;0;0.985725;0;0;0;0.985725;
4;0;0.983549;0;0.983598;0;0;0;0.983598;
5;0;0.982333;0;0.982382;0;0;0;0.982382;
6;0;0.981216;0;0.981255;0;0;0;0.981255;
7;0;0.977578;0;0.98002;0;0;0;0.98002;
8;0;0.969186;0;0.977373;0;0;0;0.977373;
9;0;0.968608;0;0.974706;0;0;0;0.974706;
10;0;0.967853;0;0.971873;0;0;0;0.971873;
11;0;0.966784;0;0.968676;0;0;0;0.968676;
12;0;0.964647;0.01125;0.965265;0.045;0;-0.03375;0.965265;
13;0;0.95748;0;0.96201;0;0;0;0.96201;
14;0;0.953971;0;0.95651;0;0;0;0.95651;
15;0;0.94952;0;0.950765;0;0;0;0.950765;
16;0;0.935069;0;0.942716;0;0;0;0.942716;
17;0;0.93048;0;0.933765;0;0;0;0.933765;
18;0;0.9165;0;0.921647;0;0;0;0.921647;
19;0;0.907725;0;0.908853;0;0;0;0.908853;
20;0;0.881804;0.045;0.892108;0.12;0;-0.075;0.892108;
21;0;0.863373;0.045;0.867794;0.12;0;-0.075;0.867794;
22;0;0.828069;0.045;0.837471;0.12;0;-0.075;0.837471;
23;0;0.791804;0.045;0.800029;0.12;0;-0.075;0.800029;
24;0;0.730461;0;0.745441;0;0;0;0.745441;
25;0;0.672255;0.09;0.678569;0.14;0;-0.05;0.678569;
26;0;0.572098;0.09;0.581186;0.14;0;-0.05;0.581186;
27;0;0.458912;0.0675;0.465971;0.17;0;-0.1025;0.465971;
28;0;0.293206;0.135;0.313647;0.14;0;-0.005;0.313647;
29;0.03125;0.987461;0.16875;0.987775;0.2125;0;-0.04375;0.987775;
30;0;0.986549;0.18;0.986745;0.31;0;-0.13;0.986745;
31;0.045;0.986549;0.225;0.986745;0.26;0;-0.035;0.986745;
32;0;0.985637;0.225;0.985725;0.33;0;-0.105;0.985725;
33;0;0.983549;0.315;0.983598;0.39;0;-0.075;0.983598;
