# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;1.96476;0;1.96483;0;0;0;1.96483;
2;0;1.96211;0;1.96219;0;0;0;1.96219;
3;0;1.95876;0;1.95942;0;0;0;1.95942;
4;0;1.95346;0;1.95358;0;0;0;1.95358;
5;0;1.95044;0;1.95057;0;0;0;1.95057;
6;0;1.94387;0;1.94396;0;0;0;1.94396;
7;0;1.94053;0.01125;1.94061;0;0;0.01125;1.94061;
8;0;1.93335;0.01125;1.93343;0;0;0.01125;1.93343;
9;0;1.92115;0.00984375;1.92204;0;0;0.00984375;1.92204;
10;0;1.91375;0;1.91375;0;0;0;1.91375;
11;0;1.89988;0.0084375;1.89988;0;0;0.0084375;1.89988;
12;0;1.88598;0.01125;1.88598;0;0;0.01125;1.88598;
13;0.0025;1.87137;0.0225;1.87138;0;0;0.0225;1.87138;
14;0.0025;1.85067;0.0225;1.85069;0;0;0.0225;1.85069;
15;0;1.82179;0.00703125;1.82204;0;0;0.00703125;1.82204;
16;0;1.78476;0.01125;1.7848;0;0;0.01125;1.7848;
17;0.03;1.74383;0.03375;1.74417;0;0;0.03375;1.74417;
18;0.03;1.6832;0.03375;1.6836;0;0;0.03375;1.6836;
19;0;1.60666;0.01125;1.60794;0.00375;0;0.0075;1.60794;
20;0.03;1.49478;0.045;1.49543;0.005625;0;0.039375;1.49543;
21;0.0121875;1.3446;0.03375;1.34568;0.0075;0;0.02625;1.34568;
22;0.0346875;1.13396;0.05625;1.13396;0.0125;0;0.04375;1.13396;
23;0.0253125;0.836167;0.0675;0.836559;0.020625;0;0.046875;0.836559;
24;0.0253125;0.459833;0.07875;0.460672;0.024375;0;0.054375;0.460672;
25;0.0253125;1.96741;0.09;1.96748;0.028125;0;0.061875;1.96748;
26;0.0253125;1.96476;0.10125;1.96483;0.031875;0;0.069375;1.96483;
